move,occurrences,examples,matched,ruleId,type,category,validationStatus,runtimeDecisionCount,flags,pokemonBehavior,system,recommendation
"Hyper Beam","3","Ezenek/Sandslash-A, Ezenek/gengar (Mega), Ezenek/pyroar","true","move:hyper-beam:13","Normal","Especial","automatic","0","catalog","User foregoes its next turn to recharge.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
"Hypnosis","5","Ezenek/Gengar, Nala/Noctowl, Nala/Noctowl, Shintaro/Ponyta (Galar)","true","move:hypnosis:275","Psychic","Status","automatic","0","catalog","Puts the target to sleep.","affliction target=target res=will cond=asleep/asleep/asleep extras=Increased Range 1","OK pelo catalogo/engine atual."
"Ice Hammer","1","Ezenek/Crabominable","true","move:ice-hammer:277","Ice","Físico","automatic","0","catalog;self_debuff;wrong_self_debuff_target","Lowers user’s Speed by one stage.","damage target=target res=thg | weaken target=target res=thg trait=initiative/dodge linked","Corrigir debuff de usuario: aplicar no atacante/self (Dodge & Initiative -1), sem resistencia do alvo."
"Ice Punch","4","Delta/Weavile, Ezenek/Sandslash-A, Ezenek/gengar (Mega), Logan/Infernape","true","move:ice-punch:156","Ice","Físico","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to freeze the target.","damage target=target res=thg | affliction target=target res=fort cond=dazed/stunned/transformed linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Ice Shard","1","Delta/Weavile","true","move:ice-shard:103","Ice","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg | enhanced_trait target=self res=thg trait=seize_initiative linked","OK pelo catalogo/engine atual."
"Ice Wind","2","Ezenek/Blastoise, Teste Batalha/Blastoise","true","move:ice-wind:278","Ice","Especial","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to lower the target’s Speed by one stage.","damage target=target res=thg extras=Increased Range 1+Area: Cone | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Icy Wind","1","James HiBorn/Empoleon","true","move:icy-wind:832","Ice","Especial","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to lower the target’s Speed by one stage.","damage target=target res=thg extras=Increased Range 1+Area: Cone | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Infestation","5","Ezenek/Araquanid, Ezenek/Dewpider, Ezenek/butterfree, Icarus/Dottler","true","move:infestation:70","Bug","Especial","automatic","1","catalog;runtime_decision","Prevents the target from fleeing and inflicts damage for 2-5 turns.","damage target=target res=thg extras=Increased Range 1 | nullify target=target res=dodge extras=Increased Duration 3 (Sustained) linked | damage target=target res=fort linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Ion Deluge","2","Felicia Fulgar/Electivire, Shintaro/Electivire","true","move:ion-deluge:282","Electric","Status","automatic","0","catalog","Changes all Normal moves to Electric moves for the rest of the turn.","feature target=target extras=Increased Range 1+Area: Burst","OK pelo catalogo/engine atual."
"Iron Defense","2","Amber/golisopod, Ezenek/Corviknight","true","move:iron-defense:283","Steel","Status","automatic","0","catalog;self_debuff","Raises the user’s Defense by two stages.","enhanced_trait target=self trait=thg","OK pelo catalogo/engine atual."
"Iron Head","2","Delta/Bisharp, Shintaro/Mawile","true","move:iron-head:284","Steel","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to make the target flinch.","damage target=target res=fort | affliction target=target res=fort cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Iron Tail","2","Ezenek/Lycanroc (Midday), Felicia Fulgar/Raichu","true","move:iron-tail:104","Steel","Físico","automatic","0","catalog;secondary_guaranteed","Ataque do tipo Steel que causa dano. Alcance corpo a corpo.","damage target=target res=thg","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Knock Off","5","Amber/Pangoro, Delta/Muk-A, Eneias/Parasect, Ezenek/Krokorok","true","move:knock-off:105","Dark","Físico","automatic","0","catalog","Target drops its held item.","damage target=target res=thg | weaken target=target res=thg linked | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Laser Focus","2","Ezenek/Lycanroc (Midday), Felicia Fulgar/Raichu","true","move:laser-focus:288","Normal","Status","automatic","0","catalog","Guarantees a critical hit with the user’s next move.","enhanced_trait target=self","OK pelo catalogo/engine atual."
"Lash Out","1","Delta/honchkrow","true","move:lash-out:1007","Dark","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Lava Plume","1","Logan/Magmortar","true","move:lava-plume:813","Fire","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to burn the target.","damage target=target res=thg trait=stgr extras=Area: Burst | weaken target=target res=fort trait=stgr linked | damage target=target res=fort trait=stgr linked | affliction target=target res=fort cond=impaired/disabled/incapacitated trait=stgr linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Leaf Blade","3","Delta/Gallade, Ezenek/Sirfetch'd, Logan/Victribell","true","move:leaf-blade:289","Grass","Físico","automatic","0","catalog","Has an increased chance for a critical hit.","damage target=target res=thg extras=Improved Critical 1","OK pelo catalogo/engine atual."
"Leech Life","2","Eneias/Yanma, Ezenek/Araquanid","true","move:leech-life:22","Bug","Físico","automatic","0","catalog","Drains half the damage inflicted to heal the user.","damage target=target res=thg | healing target=self res=thg linked","OK pelo catalogo/engine atual."
"Leer","2","James HiBorn/Dodrio, Nala/Primeape","true","move:leer:292","Normal","Status","automatic","0","catalog","Lowers the target’s Defense by one stage.","weaken target=target res=fort trait=thg extras=Increased Range 1+Area: Cloud","OK pelo catalogo/engine atual."
"Light Screen","5","Delta/Malamar, Ezenek/Emolga, Icarus/Dottler, Icarus/Flaaffy","true","move:light-screen:107","Psychic","Status","automatic","0","catalog","Movimento de status do tipo Psychic. Cria objeto/efeito: SIM. Alcance corpo a corpo.","immunity target=target res=will","OK pelo catalogo/engine atual."
"Liquidation","2","Amber/golisopod, Ezenek/Araquanid","true","move:liquidation:293","Water","Físico","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to lower the target’s Defense by one stage.","damage target=target res=thg | weaken target=target res=fort trait=thg linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Lock On","1","James HiBorn/Magneton","true","move:lock-on:294","Normal","Status","automatic","0","catalog","Ensures that the user’s next move will hit the target.","feature target=target extras=Increased Range 1","OK pelo catalogo/engine atual."
"Low Kick","4","Delta/Weavile, Delta/Zoroark, Ezenek/Sandslash-A, Ezenek/poliwrath","true","move:low-kick:295","Fighting","Físico","automatic","0","catalog","Inflicts more damage to heavier targets, with a maximum of 120 power.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Lunge","1","Eneias/Centiskorch","true","move:lunge:824","Bug","Físico","automatic","0","catalog","Lowers the target’s Attack by one stage after inflicting damage.","damage target=target res=thg trait=speed | weaken target=target res=fort trait=stgr linked | weaken target=target res=fort trait=stgr extras=Cumulative linked","OK pelo catalogo/engine atual."
"Magnet Rise","1","Felicia Fulgar/Raichu","true","move:magnet-rise:298","Electric","Status","automatic","0","catalog","User is immune to Ground moves and effects for five turns.","movement target=self","OK pelo catalogo/engine atual."
"Mean Look","5","Delta/Bisharp, Delta/Muk-A, Delta/honchkrow, Ezenek/Gengar","true","move:mean-look:299","Normal","Status","automatic","1","catalog;runtime_decision","Prevents the target from leaving battle.","nullify target=target res=will extras=Counter+Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Megahorn","1","Nala/Sawsbuck","true","move:megahorn:303","Bug","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Metal Burst","1","Delta/Bisharp","true","move:metal-burst:305","Steel","Físico","automatic","0","catalog","Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.","damage target=target res=parry extras=Reaction (ao ser acertado em Parry)+Reaction","OK pelo catalogo/engine atual."
"Metal Claw","4","Delta/Bisharp, Delta/Krabbynho, Ezenek/Sandslash-A, Nala/Kingler","true","move:metal-claw:306","Steel","Físico","automatic","0","catalog;self_debuff;secondary_guaranteed","Has a 10% chance to raise the user’s Attack by one stage.","damage target=target res=thg | enhanced_trait target=self res=thg trait=stgr linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Metal Sound","1","Ezenek/Corviknight","true","move:metal-sound:307","Steel","Status","automatic","0","catalog","Lowers the target’s Special Defense by two stages.","weaken target=target res=will trait=will extras=Cumulative+Increased Range 1","OK pelo catalogo/engine atual."
"Meteor Assault","1","Ezenek/Sirfetch'd","true","move:meteor-assault:308","Fighting","Físico","automatic","0","catalog","User foregoes its next turn to recharge.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Mind Reader","1","Icarus/Riolu","true","move:mind-reader:313","Normal","Status","automatic","0","catalog","Ensures that the user’s next move will hit the target.","feature target=target","OK pelo catalogo/engine atual."
"Minimize","1","Delta/Muk-A","true","move:minimize:314","Normal","Status","automatic","0","catalog;self_debuff","Raises the user’s evasion by two stages.","enhanced_trait target=self","OK pelo catalogo/engine atual."
"Misty Terrain","1","Shintaro/Mawile","true","move:misty-terrain:319","Fairy","Status","automatic","1","catalog;runtime_decision","For five turns, protects all Pokémon on the ground from major status ailments and confusion, and halves the power of incoming Dragon moves.","environment target=field extras=Increased Range 1+Area: Burst | nullify target=target res=will extras=Area: Burst linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Moonblast","1","Shintaro/Raichu Alola","true","move:moonblast:157","Fairy","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to lower the target’s Special Attack by one stage.","damage target=target res=thg extras=Increased Range 1 | weaken target=target res=fort trait=int linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Morning Sun","1","Shintaro/Ponyta (Galar)","true","move:morning-sun:321","Normal","Status","automatic","0","catalog","Heals the user by half its max HP. Affected by weather.","healing target=self","OK pelo catalogo/engine atual."
"Mud Shot","2","Delta/Krabbynho, Nala/Kingler","true","move:mud-shot:323","Ground","Especial","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to lower the target’s Speed by one stage.","damage target=target res=dodge extras=Increased Range 1 | affliction target=target res=dodge cond=rank/rank/rank linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Nasty Plot","3","Delta/Hydreigon, Nala/PICHU, Shintaro/Raichu Alola","true","move:nasty-plot:325","Dark","Status","automatic","0","catalog","Movimento de status do tipo Dark. Aumenta status: SIM. Alcance corpo a corpo.","enhanced_trait target=self trait=presence","OK pelo catalogo/engine atual."
"Night Slash","2","Delta/Gallade, Safira/shinx","true","move:night-slash:327","Dark","Físico","automatic","0","catalog","Has an increased chance for a critical hit.","damage target=target res=thg extras=Improved Critical 1","OK pelo catalogo/engine atual."
"Noble Roar","1","Ezenek/pyroar","true","move:noble-roar:328","Normal","Status","automatic","0","catalog","Lowers the target’s Attack and Special Attack by one stage.","weaken target=target res=will trait=stgr extras=Cumulative | weaken target=target res=will trait=int extras=Cumulative+Increased Range 1 linked","OK pelo catalogo/engine atual."
"Overheat","1","Ezenek/pyroar","true","move:overheat:39","Fire","Especial","automatic","0","catalog;self_debuff;wrong_self_debuff_target","Lowers the user’s Special Attack by two stages after inflicting damage.","damage target=target res=thg trait=int | weaken target=target res=fort trait=int linked | weaken target=target res=fort trait=int extras=Cumulative linked","Corrigir debuff de usuario: aplicar no atacante/self (Int -2), sem resistencia do alvo."
"Pain Split","1","Delta/Spiritomb","true","move:pain-split:847","Normal","Status","automatic","0","catalog","Equaliza HP entre usuário e alvo.","healing target=self res=fort extras=Increased Range 1+Affects Others | damage target=target res=fort linked","OK pelo catalogo/engine atual."
"Parting Shot","2","Amber/Pangoro, Ezenek/Pangoro","true","move:parting-shot:335","Dark","Status","automatic","1","catalog;runtime_decision","Lowers all targets’ Attack and Special Attack by one stage. Makes the user switch out.","weaken target=target res=will extras=Increased Range 1 | teleport target=target res=will linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Payback","1","Delta/Hydreigon","true","move:payback:54","Dark","Físico","automatic","0","catalog","Power is doubled if the target has already moved this turn.","damage target=target res=thg | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Phantom Force","1","Delta/Spiritomb","true","move:phantom-force:338","Ghost","Físico","automatic","0","catalog","User vanishes, dodging all attacks, and hits next turn. Hits through Protect and Detect.","damage target=target res=will extras=Move-by Action+Immunity (Damage); Flaw: Limited (apenas durante o turno de carga)","OK pelo catalogo/engine atual."
"Pin Missile","2","Ezenek/Sandslash-A, James HiBorn/Ferrothorn","true","move:pin-missile:339","Bug","Físico","automatic","0","catalog","Hits 2-5 times in one turn.","damage target=target res=dodge extras=Multiattack+Increased Range 1+Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Play Nice","3","Ezenek/Lycanroc (Midday), Logan/Pikachu, Nala/PICHU","true","move:play-nice:340","Normal","Status","automatic","0","catalog","Lowers the target’s Attack by one stage.","weaken target=target res=will trait=stgr extras=Cumulative+Increased Range 1","OK pelo catalogo/engine atual."
"Play Rough","1","Shintaro/Mawile","true","move:play-rough:341","Fairy","Físico","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Attack by one stage.","damage target=target res=thg | weaken target=target res=fort trait=stgr linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Poison Fang","2","Ezenek/Nidoran ♀, Ezenek/Seviper","true","move:poison-fang:342","Poison","Físico","automatic","0","catalog;secondary_guaranteed","Has a 50% chance to badly poison the target.","damage target=target res=thg | damage target=target res=fort linked | affliction target=target res=fort cond=impaired/disabled/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Poison Gas","1","Delta/Muk-A","true","move:poison-gas:343","Poison","Status","automatic","0","catalog","Poisons the target.","affliction target=target res=fort cond=fatigued/exhausted/incapacitated | damage target=target res=fort extras=Increased Range 1 linked","OK pelo catalogo/engine atual."
"Poison Powder","1","Nala/Chikorita","true","move:poison-powder:344","Poison","Status","automatic","0","catalog","Poisons the target.","affliction target=target res=fort cond=impaired/disabled/incapacitated extras=Increased Range 1 | damage target=target res=fort linked","OK pelo catalogo/engine atual."
"Powder","3","Eneias/Parasect, Ezenek/butterfree, Teste Batalha/Butterfree","true","move:powder:803","Bug","Status","automatic","0","catalog","Explodes if the target uses a Fire move this turn, damaging it for 1/4 its max HP and preventing the move.","damage target=target res=thg extras=Increased Range 1+Reaction","OK pelo catalogo/engine atual."
"Power Swap","1","James HiBorn/Espeon","true","move:power-swap:349","Psychic","Status","automatic","0","catalog","User swaps Attack and Special Attack changes with the target.","feature target=target res=will extras=Increased Range 1","OK pelo catalogo/engine atual."
"Power Whip","1","James HiBorn/Ferrothorn","true","move:power-whip:351","Grass","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg","OK pelo catalogo/engine atual."
"Power-Up Punch","1","Ezenek/Crabominable","true","move:power-up-punch:352","Fighting","Físico","automatic","0","catalog;self_debuff","Raises the user’s Attack by one stage after inflicting damage.","damage target=target res=thg | enhanced_trait target=self res=thg trait=stgr linked","OK pelo catalogo/engine atual."
"Protect","2","Ezenek/Sirfetch'd, Nala/Dottler","true","move:protect:109","Normal","Status","automatic","0","catalog","Movimento de status do tipo Normal. Cria objeto/efeito: SIM. Alcance corpo a corpo.","immunity target=target","OK pelo catalogo/engine atual."
"Psybeam","1","Shintaro/Ponyta (Galar)","true","move:psybeam:353","Psychic","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to confuse the target.","damage target=target res=will extras=Increased Range 1 | affliction target=target res=will cond=dazed/stunned/compelled linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Psychic","6","Amber/Starmie, Ezenek/Gengar, Icarus/Dottler, James HiBorn/Espeon","true","move:psychic:23","Psychic","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to lower the target’s Special Defense by one stage.","damage target=target res=will trait=will extras=Perception Area | weaken target=target res=will trait=will linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Psychic (Alternativo - Defletir / Redirecionar Golpes)","1","Delta/Zoroark","true","move:psychic-alternativo-defletir-redirecionar-golpes:514","Psychic","Especial","automatic","1","catalog;secondary_guaranteed;runtime_decision","Has a 10% chance to lower the target’s Special Defense by one stage.","deflect target=target res=will trait=will | weaken target=target res=will trait=will extras=Cumulative linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Psycho Cut","2","Delta/Gallade, Delta/Malamar","true","move:psycho-cut:354","Psychic","Físico","automatic","0","catalog","Has an increased chance for a critical hit.","damage target=target res=will extras=Increased Range 1+Improved Critical 1","OK pelo catalogo/engine atual."
"Psywave","1","Delta/Staryu","true","move:psywave:1015","Psychic","Especial","automatic","0","catalog","Inflicts damage between 50% and 150% of the user’s level.","damage target=target res=will extras=Increased Range 1","OK pelo catalogo/engine atual."
"Punishment","2","Delta/Zoroark, Nyx/Houndour","true","move:punishment:355","Dark","Físico","automatic","0","catalog","Power increases against targets with more raised stats, up to a maximum of 200.","damage target=target res=dodge extras=Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Pursuit","3","Delta/Weavile, Ezenek/Crabominable, Nala/Primeape","true","move:pursuit:356","Dark","Físico","automatic","0","catalog","Has double power against, and can hit, Pokémon attempting to switch out.","damage target=target res=thg | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Quick Attack","3","James HiBorn/Dodrio, James HiBorn/Dodrio, Logan/Pikachu","true","move:quick-attack:110","Normal","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg | enhanced_trait target=self res=thg trait=seize_initiative linked","OK pelo catalogo/engine atual."
"Quiver Dance","2","Ezenek/butterfree, Teste Batalha/Butterfree","true","move:quiver-dance:357","Bug","Status","automatic","0","catalog;self_debuff","Raises the user’s Special Attack, Special Defense, and Speed by one stage each.","enhanced_trait target=self | enhanced_trait target=self linked | enhanced_trait target=self linked | enhanced_trait target=self trait=dodge/initiative linked","OK pelo catalogo/engine atual."
"Rage","1","Nala/Primeape","true","move:rage:358","Normal","Físico","automatic","0","catalog","If the user is hit after using this move, its Attack rises by one stage.","damage target=target res=thg | enhanced_trait target=self res=thg trait=stgr linked","OK pelo catalogo/engine atual."
"Rage Powder","1","Eneias/Parasect","true","move:rage-powder:792","Bug","Status","automatic","0","catalog","Redirects the target’s single-target effects to the user for this turn.","affliction target=target res=will cond=rank/rank/rank extras=Area: Burst","OK pelo catalogo/engine atual."
"Rain Dance","6","Ezenek/Blastoise, Ezenek/Wartortle, Ezenek/poliwrath, Icarus/Wartortle","true","move:rain-dance:14","Water","Status","automatic","0","catalog","Changes the weather to rain for five turns.","environment target=field extras=Increased Range 1","OK pelo catalogo/engine atual."
"Rapid Spin","2","Ezenek/donphan, Logan/Blastoise","true","move:rapid-spin:140","Normal","Físico","automatic","0","catalog","Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","damage target=target res=thg | enhanced_trait target=self res=thg trait=initiative linked | enhanced_trait target=self res=thg trait=speed linked | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Razor Leaf","1","Nala/Chikorita","true","move:razor-leaf:111","Grass","Físico","automatic","0","catalog","Has an increased chance for a critical hit.","damage target=target res=thg extras=Improved Critical 1","OK pelo catalogo/engine atual."
"Recover","2","Amber/Starmie, Delta/Staryu","true","move:recover:112","Normal","Status","automatic","0","catalog","Heals the user by half its max HP.","healing target=self","OK pelo catalogo/engine atual."
"Reflect","3","Delta/Malamar, Icarus/Dottler, Nala/Dottler","true","move:reflect:113","Psychic","Status","automatic","0","catalog","Movimento de status do tipo Psychic. Cria objeto/efeito: SIM. Alcance corpo a corpo.","immunity target=target res=will","OK pelo catalogo/engine atual."
"Rest","2","Ezenek/Teddiursa, Nala/Dottler","true","move:rest:361","Psychic","Status","automatic","0","catalog","User sleeps for two turns, completely healing itself.","healing target=self res=will | affliction target=target res=will cond=asleep/asleep/asleep linked","OK pelo catalogo/engine atual."
"Rising Voltage","1","Felicia Fulgar/Raichu","true","move:rising-voltage:362","Electric","Especial","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
"Roar","5","Delta/Hydreigon, Ezenek/pyroar, Icarus/Mightyena, Safira/shinx","true","move:roar:6","Normal","Status","automatic","1","catalog;runtime_decision","Immediately ends wild battles. Forces trainers to switch Pokémon.","teleport target=target res=will extras=Perception Area","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Rock Blast","4","Ezenek/Golem-A, Ezenek/Lycanroc (Midday), Ezenek/carkol, James HiBorn/Golem","true","move:rock-blast:363","Rock","Físico","automatic","0","catalog","Hits 2-5 times in one turn.","damage target=target res=dodge extras=Multiattack+Increased Range 1+Alternate Resistance: Dodge","OK pelo catalogo/engine atual."
"Rock Polish","1","James HiBorn/Golem","true","move:rock-polish:57","Rock","Status","automatic","0","catalog;self_debuff","Raises the user’s Speed by two stages.","enhanced_trait target=self trait=dodge/initiative","OK pelo catalogo/engine atual."
"Rock Slide","2","Ezenek/Lycanroc (Midday), Icarus/Rockruff","true","move:rock-slide:67","Rock","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to make the target flinch.","damage target=target res=dodge extras=Increased Range 1+Area: Burst | affliction target=target res=fort cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Rock Tomb","2","Eneias/Dwebble, Ezenek/Lycanroc (Midday)","true","move:rock-tomb:30","Rock","Físico","automatic","0","catalog;secondary_guaranteed","Has a 100% chance to lower the target’s Speed by one stage.","damage target=target res=thg trait=speed | weaken target=target res=fort trait=initiative/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Rollout","1","James HiBorn/Golem","true","move:rollout:367","Rock","Físico","automatic","1","catalog;runtime_decision","Power doubles every turn this move is used in succession after the first, resetting after five turns.","damage target=target res=thg | nullify target=target res=thg extras=Increased Duration 2 (Sustained) linked | feature target=target res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Roost","5","James HiBorn/Crobat, James HiBorn/Dodrio, Logan/Dragonite, Nala/Noctowl","true","move:roost:15","Flying","Status","automatic","0","catalog","Heals the user by half its max HP.","healing target=self","OK pelo catalogo/engine atual."
"Sand Attack","1","Shintaro/Lycanroc (Midnight)","true","move:sand-attack:369","Ground","Status","automatic","0","catalog","Lowers the target’s accuracy by one stage.","weaken target=target res=fort trait=close_attack/ranged_attack extras=Increased Range 1","OK pelo catalogo/engine atual."
"Sandstorm","2","Ezenek/Lycanroc (Midday), Ezenek/carkol","true","move:sandstorm:28","Rock","Status","automatic","0","catalog","Changes the weather to a sandstorm for five turns.","damage target=target res=thg extras=Increased Range 1+Increased Duration 3 linked | environment target=field linked","OK pelo catalogo/engine atual."
"Shadow Ball","2","Ezenek/Gengar, Icarus/Dottler","true","move:shadow-ball:24","Ghost","Especial","automatic","0","catalog;secondary_guaranteed","Has a 20% chance to lower the target’s Special Defense by one stage.","damage target=target res=will trait=will | weaken target=target res=will trait=will linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Signal Beam","1","Eneias/Joltik","true","move:signal-beam:378","Bug","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to confuse the target.","damage target=target res=thg extras=Increased Range 1 | affliction target=target res=will cond=dazed/stunned/compelled linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Skill Swap","1","Nala/Dottler","true","move:skill-swap:381","Psychic","Status","automatic","0","catalog","User and target swap abilities.","feature target=target res=will extras=Increased Range 1","OK pelo catalogo/engine atual."
"Skull Bash","2","Ezenek/Blastoise, Teste Batalha/Blastoise","true","move:skull-bash:382","Normal","Físico","automatic","0","catalog;self_debuff","Raises the user’s Defense by one stage. User charges for one turn before attacking.","damage target=target res=thg | enhanced_trait target=self res=thg trait=thg linked","OK pelo catalogo/engine atual."
"Slack Off","2","RCsar/chimchar, RCsar/chimchar","true","move:slack-off:384","Normal","Status","automatic","0","catalog","Heals the user by half its max HP.","healing target=self","OK pelo catalogo/engine atual."
"Sleep Powder","3","Ezenek/butterfree, Logan/Victribell, Teste Batalha/Butterfree","true","move:sleep-powder:386","Grass","Status","automatic","0","catalog","Puts the target to sleep.","affliction target=target res=will cond=asleep/asleep/asleep extras=Increased Range 1","OK pelo catalogo/engine atual."
"Sludge Bomb","1","Ezenek/Gengar","true","move:sludge-bomb:116","Poison","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to poison the target.","damage target=target res=thg extras=Increased Range 1 | damage target=target res=fort linked | affliction target=target res=fort cond=impaired/disabled/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Sludge Wave","1","Logan/Victribell","true","move:sludge-wave:26","Poison","Especial","automatic","0","catalog;secondary_guaranteed","Has a 10% chance to poison the target.","damage target=target res=thg extras=Increased Range 1+Area: Cloud | damage target=target res=fort linked | affliction target=target res=fort cond=impaired/disabled/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Smack Down","1","James HiBorn/Golem","true","move:smack-down:18","Rock","Físico","automatic","1","catalog;runtime_decision","Removes any immunity to Ground damage.","damage target=target res=thg | nullify target=target res=thg linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Soak","1","Ezenek/Dewpider","true","move:soak:389","Water","Status","automatic","0","catalog","Changes the target’s type to Water.","feature target=target res=will extras=Increased Range 1","OK pelo catalogo/engine atual."
"Spark","1","RCsar/shinx","true","move:spark:822","Electric","Físico","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to paralyze the target.","damage target=target res=thg | affliction target=target res=fort cond=fatigued/immobile/paralyzed linked | affliction target=target res=fort cond=fatigued/immobile/paralyzed linked | weaken target=target res=fort trait=initiative/speed/dodge linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Spider Web","3","Eneias/Joltik, Ezenek/Araquanid, Ezenek/Dewpider","true","move:spider-web:390","Bug","Status","automatic","1","catalog;runtime_decision","Prevents the target from leaving battle.","nullify target=target res=will extras=Counter+Increased Range 1","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Spikes","1","dtvcacaio/Crobat","true","move:spikes:118","Ground","Status","automatic","1","catalog;runtime_decision","Scatters Spikes, hurting opposing Pokémon that switch in.","create target=field extras=Increased Range 1 | damage target=target res=thg extras=Area: Cloud linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Stealth Rock","3","Eneias/Dwebble, Ezenek/Golem-A, Ezenek/donphan","true","move:stealth-rock:119","Rock","Status","automatic","1","catalog;runtime_decision","Causes damage when opposing Pokémon switch in.","create target=field extras=Increased Range 1 | damage target=target res=thg extras=Area: Cloud linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Sticky Web","1","Ezenek/Dewpider","true","move:sticky-web:392","Bug","Status","automatic","1","catalog;runtime_decision","Movimento de status do tipo Bug. Alcance à distância.","create target=field res=fort extras=Increased Range 1 | affliction target=target res=fort cond=poisoned/poisoned/poisoned linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Stockpile","1","Shintaro/Mawile","true","move:stockpile:393","Normal","Status","automatic","0","catalog","Movimento de status do tipo Normal. Alcance corpo a corpo.","enhanced_trait target=self trait=thg extras=Stackable 2","OK pelo catalogo/engine atual."
"Stomping Tantrum","1","Nala/Primeape","true","move:stomping-tantrum:830","Ground","Físico","automatic","0","catalog","Has double power if the user’s last move failed.","damage target=target res=thg | damage target=target res=thg linked","OK pelo catalogo/engine atual."
