category,move,trainer,pokemon,path,catalogMatched,source,validationStatus,effects,decisions,issues,selfDebuffIssues
fullyAutomated,Knock Off,Ezenek,Krokorok,trainers/Ezenek/sheets/Krokorok_435_c522b620,true,catalog+sheet_build,automatic,damage+weaken+damage,,,
fullyAutomated,Bulk Up,Ezenek,Krokorok,trainers/Ezenek/sheets/Krokorok_435_c522b620,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
fullyAutomated,Crunch,Ezenek,Krokorok,trainers/Ezenek/sheets/Krokorok_435_c522b620,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Taunt,Ezenek,Krokorok,trainers/Ezenek/sheets/Krokorok_435_c522b620,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Dig,Ezenek,Krokorok,trainers/Ezenek/sheets/Krokorok_435_c522b620,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Toxic Spikes,Ezenek,Nidoran ♀,trainers/Ezenek/sheets/Nidoran___22_63979147,true,catalog+sheet_build,needs_review,create+affliction,,,
fullyAutomated,Poison Fang,Ezenek,Nidoran ♀,trainers/Ezenek/sheets/Nidoran___22_63979147,true,catalog+sheet_build,automatic,damage+damage+affliction,,,
needsReview,Disable,Ezenek,Nidoran ♀,trainers/Ezenek/sheets/Nidoran___22_63979147,true,catalog+sheet_build,needs_review,nullify,,,
fullyAutomated,Tail Whip,Ezenek,Nidoran ♀,trainers/Ezenek/sheets/Nidoran___22_63979147,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Surf,Ezenek,Octillery,trainers/Ezenek/sheets/Octillery_221_8be53a00,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Tackle,Ezenek,Octillery,trainers/Ezenek/sheets/Octillery_221_8be53a00,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Drain Punch,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,automatic,healing+damage,,,
fullyAutomated,Knock Off,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,automatic,damage,,,
needsReview,Parting Shot,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,needs_review,teleport+custom,,custom_effect,
automatedWithFallback,Sky Uppercut,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,false,sheet_build,partial,damage+leaping,,,
needsReview,Surf,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,needs_review,damage,,unknown_extra,
fullyAutomated,Swords Dance,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Taunt,Ezenek,Pangoro,trainers/Ezenek/sheets/Pangoro_mm_Pangoro_72b02c7b,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Electro Ball,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,needs_review,custom,,custom_effect,
requiresRuntimeDecision,Iron Tail,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage,,unreliable_50_percent,
fullyAutomated,Electroweb,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Laser Focus,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Encore,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Play Nice,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage,,,
requiresRuntimeDecision,Thunder,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage+affliction,,unreliable_50_percent,
fullyAutomated,Rock Slide,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage+affliction,,,
needsReview,Sandstorm,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,needs_review,damage+environment,,fades_on_instant,
fullyAutomated,Rock Tomb,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Rock Blast,Ezenek,Lycanroc (Midday),trainers/Ezenek/sheets/Raichu_19_44eaf007,true,catalog+sheet_build,automatic,damage,,,
needsReview,Ice Punch,Ezenek,Sandslash-A,trainers/Ezenek/sheets/Sandslash-A_21_0cdf9a9b,true,catalog+sheet_build,needs_review,damage+custom,,custom_effect,
fullyAutomated,Metal Claw,Ezenek,Sandslash-A,trainers/Ezenek/sheets/Sandslash-A_21_0cdf9a9b,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Hyper Beam,Ezenek,Sandslash-A,trainers/Ezenek/sheets/Sandslash-A_21_0cdf9a9b,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Low Kick,Ezenek,Sandslash-A,trainers/Ezenek/sheets/Sandslash-A_21_0cdf9a9b,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Pin Missile,Ezenek,Sandslash-A,trainers/Ezenek/sheets/Sandslash-A_21_0cdf9a9b,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Poison Fang,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,true,catalog+sheet_build,automatic,damage+damage+affliction,,,
automatedWithFallback,Smokescreen,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,false,sheet_build,automatic,weaken,,,
needsReview,Gastro Acid,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,true,catalog+sheet_build,needs_review,nullify,,,
fullyAutomated,Coil,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait+enhanced_trait,,,
needsReview,Wrap,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
fullyAutomated,Venom Drench,Ezenek,Seviper,trainers/Ezenek/sheets/Seviper_321_ced86dc3,true,catalog+sheet_build,automatic,weaken+weaken+weaken,,,
fullyAutomated,Sweet Scent,Ezenek,Teddiursa,trainers/Ezenek/sheets/Teddiursa_401_0ad3ecf4,true,catalog+sheet_build,automatic,weaken,,,
fullyAutomated,Facade,Ezenek,Teddiursa,trainers/Ezenek/sheets/Teddiursa_401_0ad3ecf4,true,catalog+sheet_build,automatic,damage+damage,,,
fullyAutomated,Rest,Ezenek,Teddiursa,trainers/Ezenek/sheets/Teddiursa_401_0ad3ecf4,true,catalog+sheet_build,automatic,healing+affliction,,,
fullyAutomated,Withdraw,Ezenek,Wartortle,trainers/Ezenek/sheets/Wartortle_5_5eb876d3,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Bubble (Alternativo - Escorregar (Zona Escorregadia)),Ezenek,Wartortle,trainers/Ezenek/sheets/Wartortle_5_5eb876d3,true,catalog+sheet_build,partial,environment+affliction,,,
fullyAutomated,Bubble,Ezenek,Wartortle,trainers/Ezenek/sheets/Wartortle_5_5eb876d3,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Bite,Ezenek,Wartortle,trainers/Ezenek/sheets/Wartortle_5_5eb876d3,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Rain Dance,Ezenek,Wartortle,trainers/Ezenek/sheets/Wartortle_5_5eb876d3,true,catalog+sheet_build,partial,environment,,,
fullyAutomated,Quiver Dance,Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait+enhanced_trait+enhanced_trait,,,
fullyAutomated,Sleep Powder,Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Infestation,Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
requiresRuntimeDecision,U-turn,Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,needs_review,damage+teleport,,,
needsReview,Powder,Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,needs_review,damage,,reaction_needs_trigger,
requiresRuntimeDecision,Hurricane (Alternative),Ezenek,butterfree,trainers/Ezenek/sheets/butterfree_9_3488a224,true,catalog+sheet_build,needs_review,damage+move_object+environment,,,
fullyAutomated,First Impression,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Fury Cutter,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Leaf Blade,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Swords Dance,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,automatic,enhanced_trait,,,
needsReview,Brave Bird,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Meteor Assault,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Protect,Ezenek,Sirfetch'd,trainers/Ezenek/sheets/butterfree_9_7e28987a,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Heat Crash,Ezenek,carkol,trainers/Ezenek/sheets/carkol_279_3bfcc810,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Burn Up,Ezenek,carkol,trainers/Ezenek/sheets/carkol_279_3bfcc810,true,catalog+sheet_build,automatic,damage,,,
needsReview,Sandstorm,Ezenek,carkol,trainers/Ezenek/sheets/carkol_279_3bfcc810,true,catalog+sheet_build,needs_review,custom+damage,,custom_effect|fades_on_instant,
fullyAutomated,Rock Blast,Ezenek,carkol,trainers/Ezenek/sheets/carkol_279_3bfcc810,true,catalog+sheet_build,automatic,damage,,,
requiresRuntimeDecision,Stealth Rock,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,needs_review,create+damage,,,
fullyAutomated,Bulldoze,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Stone Edge,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Rapid Spin,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,automatic,damage+enhanced_trait+enhanced_trait,,,
needsReview,Endure,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,needs_review,feature,,,
fullyAutomated,Endeavor,Ezenek,donphan,trainers/Ezenek/sheets/donphan_204_db8c81e6,true,catalog+sheet_build,automatic,damage,,,
genericHandlerOnly,Fire Punch,Ezenek,gengar (Mega),trainers/Ezenek/sheets/gengar__Mega__EXT_gengar__Mega__83c83e37,false,schema_v1_generic_fallback,automatic,damage,,,
needsReview,Ice Punch,Ezenek,gengar (Mega),trainers/Ezenek/sheets/gengar__Mega__EXT_gengar__Mega__83c83e37,true,catalog+sheet_build,needs_review,damage+custom,,custom_effect,
fullyAutomated,Hyper Beam,Ezenek,gengar (Mega),trainers/Ezenek/sheets/gengar__Mega__EXT_gengar__Mega__83c83e37,true,catalog+sheet_build,automatic,damage,,,
genericHandlerOnly,Fire Punch,Ezenek,gengar (Mega),trainers/Ezenek/sheets/gengar__Mega__EXT_gengar__Mega__9f804833,false,schema_v1_generic_fallback,automatic,damage,,,
fullyAutomated,Toxic,Ezenek,gengar (Mega),trainers/Ezenek/sheets/gengar__Mega__EXT_gengar__Mega__9f804833,true,catalog+sheet_build,automatic,damage+affliction,,,
needsReview,Rain Dance,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Low Kick,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Bulk Up,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
fullyAutomated,Detect,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Haze,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Brick Break,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,automatic,damage,,,
requiresRuntimeDecision,Circle Throw,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,needs_review,damage+move_object,,,
fullyAutomated,Coaching,Ezenek,poliwrath,trainers/Ezenek/sheets/poliwrath_45_058a91a2,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
fullyAutomated,Ice Hammer,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,automatic,damage+enhanced_trait+enhanced_trait,,,
requiresRuntimeDecision,Dynamic Punch,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,automatic,damage,,unreliable_50_percent,
fullyAutomated,Power-Up Punch,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
needsReview,Pursuit,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,needs_review,damage+custom,,custom_effect,
fullyAutomated,Bulk Up,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
fullyAutomated,Drain Punch,Ezenek,Crabominable,trainers/Ezenek/sheets/pyroar_178_c70eedf0,true,catalog+sheet_build,automatic,damage+healing,,,
fullyAutomated,Noble Roar,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,automatic,weaken+weaken,,,
fullyAutomated,Overheat,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Taunt,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Fire Spin,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
requiresRuntimeDecision,Roar,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,needs_review,teleport,,,
fullyAutomated,Hyper Beam,Ezenek,pyroar,trainers/Ezenek/sheets/pyroar_178_dce6257d,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Hail,Ezenek,spheal,trainers/Ezenek/sheets/spheal_283_59d42a82,true,catalog+sheet_build,partial,environment,,,
requiresRuntimeDecision,Hydro Pump,Ezenek,spheal,trainers/Ezenek/sheets/spheal_283_59d42a82,true,catalog+sheet_build,automatic,damage,,unreliable_50_percent,
fullyAutomated,Tackle,Ezenek,spheal,trainers/Ezenek/sheets/spheal_283_59d42a82,true,catalog+sheet_build,automatic,damage,,,
requiresRuntimeDecision,Thunder,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,automatic,damage+affliction,,unreliable_50_percent,
fullyAutomated,Flamethrower,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,automatic,damage+weaken+damage+affliction,,,
fullyAutomated,Charge Beam,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
requiresRuntimeDecision,Volt Switch,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,needs_review,damage+teleport,,,
fullyAutomated,Taunt,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,automatic,affliction,,,
needsReview,Ion Deluge,Felicia Fulgar,Electivire,trainers/Felicia_Fulgar/sheets/Electivire_77_d505db9d,true,catalog+sheet_build,needs_review,feature,,,
fullyAutomated,Thunder,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
needsReview,Electric Terrain,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,needs_review,environment+nullify,,,
fullyAutomated,Rising Voltage,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage,,,
needsReview,Electro Ball,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Discharge,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
fullyAutomated,Thunderbolt,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
fullyAutomated,Charge Beam,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
requiresRuntimeDecision,Volt Switch,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,needs_review,damage+teleport,,,
fullyAutomated,Electroweb,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Laser Focus,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Encore,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,affliction,,,
requiresRuntimeDecision,Iron Tail,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,automatic,damage,,unreliable_50_percent,
fullyAutomated,Magnet Rise,Felicia Fulgar,Raichu,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735,true,catalog+sheet_build,partial,movement,,,
fullyAutomated,Reflect,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Light Screen,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,partial,immunity,,,
fullyAutomated,Psychic,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,automatic,damage+weaken,,,
requiresRuntimeDecision,Ally Switch,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,needs_review,teleport+enhanced_trait,,,
needsReview,Infestation,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,needs_review,damage+nullify+damage,,,
fullyAutomated,Bug Buzz,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Shadow Ball,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Calm Mind,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,automatic,enhanced_trait+enhanced_trait,,,
needsReview,teleport,Icarus,Dottler,trainers/Icarus/sheets/Dottler_268_894e05bb,true,catalog+sheet_build,needs_review,teleport,,unknown_extra,
fullyAutomated,Cotton Guard,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,automatic,enhanced_trait,,,
needsReview,Charge,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,needs_review,enhanced_trait+custom,,custom_effect,
fullyAutomated,Light Screen,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,partial,immunity,,,
requiresRuntimeDecision,Thunder,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,automatic,damage+affliction,,unreliable_50_percent,
fullyAutomated,Will-O-Wisp,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
needsReview,Electro Ball,Icarus,Flaaffy,trainers/Icarus/sheets/Flaaffy_183_ac5b2917,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Aura Sphere,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,automatic,damage,,,
needsReview,Foresight,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,needs_review,nullify,,,
needsReview,Vacuum Wave,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,needs_review,custom,,custom_effect,
needsReview,Mind Reader,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,needs_review,feature,,,
needsReview,Counter,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,needs_review,damage,,reaction_needs_trigger,
fullyAutomated,Force Palm,Icarus,Riolu,trainers/Icarus/sheets/Riolu_157_8940d6b5,true,catalog+sheet_build,automatic,damage+affliction+weaken,,,
fullyAutomated,Taunt,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Yawn,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,automatic,affliction,,,
requiresRuntimeDecision,Roar,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,needs_review,teleport,,,
fullyAutomated,Crunch,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Sucker Punch,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,automatic,damage,,,
needsReview,Embargo,Icarus,Mightyena,trainers/Icarus/sheets/Riolu_157_c9c9abc7,true,catalog+sheet_build,needs_review,nullify,,,
fullyAutomated,Swords Dance,Icarus,Rockruff,trainers/Icarus/sheets/Rockruff_294_9dee3935,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Stone Edge,Icarus,Rockruff,trainers/Icarus/sheets/Rockruff_294_9dee3935,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Rock Slide,Icarus,Rockruff,trainers/Icarus/sheets/Rockruff_294_9dee3935,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Accelerock,Icarus,Rockruff,trainers/Icarus/sheets/Rockruff_294_9dee3935,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Crunch,Icarus,Rockruff,trainers/Icarus/sheets/Rockruff_294_9dee3935,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Withdraw,Icarus,Wartortle,trainers/Icarus/sheets/Wartortle_5_33b6185f,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Bubble (Alternativo - Escorregar (Zona Escorregadia)),Icarus,Wartortle,trainers/Icarus/sheets/Wartortle_5_33b6185f,true,catalog+sheet_build,partial,environment+affliction,,,
fullyAutomated,Bubble,Icarus,Wartortle,trainers/Icarus/sheets/Wartortle_5_33b6185f,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Bite,Icarus,Wartortle,trainers/Icarus/sheets/Wartortle_5_33b6185f,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Rain Dance,Icarus,Wartortle,trainers/Icarus/sheets/Wartortle_5_33b6185f,true,catalog+sheet_build,partial,environment,,,
fullyAutomated,Cross Poison,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,automatic,damage+damage+affliction,,,
fullyAutomated,Haze,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,partial,immunity,,,
needsReview,Mean Look,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,Bite,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,automatic,damage+affliction,,,
fullyAutomated,Taunt,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,automatic,affliction,,,
fullyAutomated,Roost,James HiBorn,Crobat,trainers/James_HiBorn/sheets/Crobat_32_61a04568,true,catalog+sheet_build,automatic,healing,,,
fullyAutomated,Swords Dance,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Drill Peck,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Quick Attack,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Fury Attack,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,damage,,,
fullyAutomated,Agility,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Tailwind,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Roost,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,healing,,,
fullyAutomated,Leer,James HiBorn,Dodrio,trainers/James_HiBorn/sheets/Dodrio_59_6a89c65f,true,catalog+sheet_build,automatic,weaken,,,
